time,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
5/23/2016 8:14:53,Bisexual,26,$0,European,Underweight,Yes,Yes,No,0,Yes,Yes,I don't want help,Yes,Unable to work,Disabled,"Some high school, no diploma","Therapy, Other exercise, None"
5/23/2016 8:38:27,Straight,24,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,Yes but I haven't,4,Yes,Yes,I have no idea,No,Employed for wages,Admin,"Some college, no degree",None
5/23/2016 13:13:39,Straight,18,$0,White non-Hispanic,Underweight,Yes,Yes,No,0,Yes,No,I don't want help,No,A student,Student,"Some high school, no diploma",Therapy
5/23/2016 13:29:58,Straight,25,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,5,Yes,Yes,I don't want help,Yes,Out of work and looking for work,Unemployed,"Some college, no degree","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
5/23/2016 13:50:30,Straight,23,"$10,000 to $19,999",White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,Yes,I don't want help,No,A student,none,"Some college, no degree",Joined a gym/go to the gym
5/23/2016 15:13:05,Straight,25,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,20,No,No,I don't want help,No,Employed for wages,Freight Broker,Associate degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/23/2016 15:46:30,Bisexual,33,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,25,No,No,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Coordinator,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/23/2016 18:02:09,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,No,No,No,4,Yes,Yes,I don't want help,No,A student,Research assistant,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise"
5/23/2016 21:21:36,Straight,30,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,12,No,Yes,Set me up with a date,No,Self-employed,freelance technical theatre,"Some college, no degree","Joined a gym/go to the gym, Therapy"
5/24/2016 3:43:19,Straight,22,"$10,000 to $19,999",Black,Overweight,Yes,No,Yes but I haven't,2,Yes,Yes,I don't want help,Yes,Employed for wages,Retail Associate,Associate degree,"Therapy, Other exercise"
5/24/2016 8:48:42,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,0,No,Yes,I don't want help,No,Employed for wages,it,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/24/2016 11:23:07,Straight,18,$0,White non-Hispanic,Normal weight,Yes,No,No,1,No,No,"wingman/wingwoman, Set me up with a date",No,A student,Student ,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
5/24/2016 11:53:26,Bisexual,37,"$40,000 to $49,999",Hispanic (of any race),Obese,No,No,No,400,No,No,I don't want help,No,Employed for wages,Administrative Assistant,"Some college, no degree","Cosmetic surgery, Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/24/2016 12:38:04,Straight,26,"$20,000 to $29,999",Hispanic (of any race),Normal weight,Yes,Yes,No,1,Yes,Yes,I don't want help,No,Employed for wages,Technician ,Associate degree,None
5/24/2016 19:02:34,Straight,21,"$10,000 to $19,999",White non-Hispanic,Overweight,No,No,No,3,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,Transport,"High school graduate, diploma or the equivalent (for example: GED)",None
5/24/2016 23:03:18,Straight,26,$0,Hispanic (of any race),Normal weight,Yes,Yes,Yes but I haven't,0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,none,"Some high school, no diploma",None
5/25/2016 10:33:04,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,2,Yes,Yes,I don't want help,No,Employed for wages,Cleaner,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/25/2016 12:50:09,Straight,23,$0,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,Set me up with a date,No,A student,I don't have a job,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/26/2016 13:19:42,Bisexual,26,"$10,000 to $19,999",Hispanic (of any race),Normal weight,No,No,No,15,Yes,No,I don't want help,Yes,Self-employed,Marketing,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
5/26/2016 18:41:04,Straight,16,$0,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,Set me up with a date,Yes,A student,na,"Some high school, no diploma",None
5/26/2016 20:36:35,Straight,24,"$30,000 to $39,999",White non-Hispanic,Overweight,No,No,No,6,No,No,I don't want help,No,Employed for wages,Screener,"Some college, no degree","Other exercise, Joined the US Navy"
5/27/2016 3:24:20,Straight,22,$0,Hispanic (of any race),Overweight,Yes,No,No,0,Yes,Yes,date coaching,Yes,A student,Student,"Some college, no degree",Therapy
5/27/2016 10:36:04,Bisexual,20,"$1 to $10,000",Black,Normal weight,Yes,Yes,No,3,Yes,Yes,date coaching,Yes,A student,       🌚,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/28/2016 11:36:27,Straight,25,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,0,No,No,Set me up with a date,No,Employed for wages,"Program Manager, Non-profit",Associate degree,"Other exercise, join clubs/socual clubs/meet ups"
5/28/2016 13:57:49,Straight,23,$0,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,NEET parasite,"Some college, no degree","Joined a gym/go to the gym, Therapy"
5/28/2016 14:01:59,Straight,25,$0,White non-Hispanic,Overweight,Yes,No,No,3,No,Yes,"wingman/wingwoman, date coaching",No,A student,T,Professional degree,Other exercise
5/28/2016 14:03:43,Straight,27,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,5,No,Yes,wingman/wingwoman,Yes,A student,Designer,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/28/2016 16:46:11,Straight,23,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,10,No,No,wingman/wingwoman,No,Employed for wages,Account Manager,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/28/2016 17:04:03,Straight,25,$0,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,I don't want help,No,A student,student teacher,Bachelor’s degree,Other exercise
5/28/2016 20:36:53,Straight,22,"$1 to $10,000",Black,Normal weight,Yes,No,No,15,No,No,Set me up with a date,No,A student,Guest Advisor,"Some college, no degree",None
5/28/2016 20:56:31,Straight,23,$0,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,I don't want help,No,A student,...,"Some college, no degree","Therapy, Other exercise"
5/28/2016 21:42:27,Straight,21,"$10,000 to $19,999",Black,Overweight,No,No,No,0,Yes,No,I don't want help,No,Employed for wages,customer service,"Some college, no degree",None
5/28/2016 21:57:42,Straight,31,"$40,000 to $49,999",White non-Hispanic,Overweight,No,No,No,30,Yes,Yes,I don't want help,No,Employed for wages,Teacher,Master’s degree,Therapy
5/28/2016 23:20:15,Straight,18,$0,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,Yes,date coaching,No,A student,None,"Some high school, no diploma",None
5/29/2016 0:01:52,Straight,18,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,30,Yes,No,"Set me up with a date, I don't want help",No,A student,Warehouse Associate,Bachelor’s degree,Joined a gym/go to the gym
5/29/2016 6:10:45,Straight,24,"$75,000 to $99,999",White non-Hispanic,Normal weight,No,No,No,11,Yes,No,I don't want help,No,Employed for wages,Terminal worker ,"Some high school, no diploma","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/29/2016 9:54:55,Bisexual,23,"$40,000 to $49,999",White non-Hispanic,Overweight,Yes,Yes,No,10,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,PA,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
5/29/2016 12:25:01,Straight,28,"$20,000 to $29,999",Black,Normal weight,No,No,No,1,Yes,No,I don't want help,No,Employed for wages,Case Worker,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
5/29/2016 12:40:43,Straight,18,"$1 to $10,000",Asian,Overweight,Yes,No,Yes but I haven't,5,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Yes,Employed for wages,Home Depot order fulfillment,"High school graduate, diploma or the equivalent (for example: GED)",Started losing weight
5/29/2016 15:41:59,Straight,18,$0,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,6,No,No,I don't want help,No,A student,erdet,"Some high school, no diploma",Joined a gym/go to the gym
5/30/2016 14:48:53,Bisexual,12,$0,White non-Hispanic,Obese,No,No,Yes and I have,0.5,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching, I don't want help",Yes,A student,Boss,"Some high school, no diploma","Cosmetic surgery, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups, None"
6/2/2016 5:04:24,Straight,26,"$10,000 to $19,999",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,10,Yes,No,"Set me up with a date, date coaching",No,Employed for wages,Consultant IT,Master’s degree,Joined a gym/go to the gym
6/3/2016 19:25:46,Straight,31,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,10,No,No,I don't want help,No,Employed for wages,castor,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups"
6/6/2016 1:36:55,Straight,17,"$1 to $10,000",Asian,Normal weight,Yes,No,No,20,Yes,Yes,wingman/wingwoman,Yes,Employed for wages,receptionist ,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
8/14/2016 15:10:41,Straight,18,$0,Asian,Obese,Yes,No,No,16,Yes,Yes,Set me up with a date,No,Out of work but not currently looking for work,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy"
9/4/2016 23:10:04,Straight,28,"$40,000 to $49,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,Scientist,Master’s degree,Therapy
